code,smile,id
vat-d219,CCCC(=O)C=1C=CC=NC1,219
vat-d220,CCCC=1C=CC=CC1N,220
vat-d221,OC(=O)CCC1CCCC1,221
vat-d222,CCN1CCC=2C(N)=CC=CC2C1,222
vat-d223,C(NC1CCCC1)C=2C=CC=3OCOC3C2,223
vat-d224,OCCN1C=CC=N1,224
vat-d225,OC(=O)CC1=CC=2C=CC=CC2S1,225
vat-d226,CC=1N=CSC1CCO,226
vat-d227,CC1=NOC(C)=C1C=2C=CC=CC2,227
vat-d229,CC=1C=C2C(=O)C(=O)NC2=C(Br)C1,229
vat-d230,NC1=NC=2C=CC=CC2S1,230
vat-d231,OC(=O)C=1C=CC(F)=CC1,231
vat-d232,COC(=O)C=1C=CC(O)=CC1,232
vat-d233,NC=1C=CC=2C=CC=CC2N1,233
vat-d234,NS(=O)(=O)C=1C=CC(=CC1)C(=O)O,234
vat-d235,NC(=O)C=1C=CC=CC1N,235
vat-d236,OC(=O)CN1C(=O)C=2C=CC=CC2C1=O,236
vat-d237,NNC(=O)C=1C=CC(O)=CC1,237
vat-d238,CC(=O)NC=1C=CC(=CC1)C(=O)O,238
vat-d239,CC1=NC(=CS1)C=2C=CC=C(N)C2,239
vat-d240,NS(=O)(=O)C=1C=CC=C(F)C1,240
vat-d242,CC1=NC=2C=CC=CC2N1,242
vat-d243,OC(=O)CCC1=NC=2C=CC=CC2N1,243
vat-d244,NNC(=O)CC=1C=CC(F)=CC1,244
vat-d245,COC(=O)C=1C=CC(Cl)=CC1N,245
vat-d246,OC(=O)C1=CNC=2C=CC=CC12,246
vat-d247,NC(=O)C=1C=CC=C(Cl)C1,247
vat-d248,CCOC=1C=CC(=CC1)S(=O)(=O)N,248
vat-d249,NC(=O)C=1C=CC=CN1,249
vat-d250,NC(=O)C=1C=CC=C(N)C1,250
vat-d251,O=C1NC=NC=2C=3C=CC=CC3OC12,251
vat-d252,NC=1C=CC(Br)=CC1C(=O)O,252
vat-d253,OC1=CC(=O)OC=2C=CC=CC12,253
vat-d255,O=C1C=CC=2C=CC=CC2O1,255
vat-d256,NCCC=1C=CC(=CC1)S(=O)(=O)N,256
vat-d258,COC=1C=CC=C(OC)C1C(=O)O,258
vat-d259,COC=1C=CC=C(C(=O)O)C1OC,259
vat-d260,O=C1NS(=O)(=O)C=2C=CC=CC12,260
vat-d261,OC(=O)CC=1C=CC(Cl)=C(Cl)C1,261
vat-d262,OC(=O)C=1C=CC=2OCOC2C1,262
vat-d263,OC(=O)CC=1C=CC=CC1C(=O)O,263
vat-d264,OC(=O)C=1C=CC=CC1Br,264
vat-d265,OC(=O)C1CCNCC1,265
vat-d266,CC=1C=CSC1C(=O)O,266
vat-d268,CC=1ON=C(C1C(=O)O)C=2C=CC=CC2,268
vat-d269,C1=CC=2C=CC=NC2N1,269
vat-d270,NC(=O)CN1CCCC1=O,270
vat-d271,NC1=NOC=2C=CC=CC12,271
vat-d272,CC=1C=CC(O)=C(C1)C(=O)O,272
vat-d274,NC=1C=CC(=CC1)C(=O)O,274
vat-d275,ClC=1C=CC=2OC(=O)NC2C1,275
vat-d278,CC=1C=CC(=CN1)C(=O)N,278
vat-d281,OC(=O)C=1C=CC(Br)=CC1,281
vat-d282,NC=1C=CC=2N=CC=CC2C1,282
vat-d464,C1=NNC=2C=CC=CC12,464
