sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
77,['c1ccc2c(c1)ncn2c3ccc(cc3)CO'],1,1,0,0,0,0,0,1,0,0
78,['C1COCC[NH+]1CCC#N'],1,1,0,0,0,0,0,0,0,0
79,['Cc1ccsc1C[NH2+]C(C)(C)CO'],1,1,0,1,0,0,0,0,0,0
80,['CNC(=O)c1ccc(cc1)S(=O)(=O)N'],1,3,0,1,0,0,0,0,0,0
81,['c1ccc2c(c1)nc(o2)c3cc(ccc3F)N'],1,1,0,0,0,0,0,0,0,0
82,['CC(=O)Nc1ccccc1O'],1,2,0,0,0,0,0,0,0,0
83,['c1cc(cnc1)C[NH2+]C2CCCC2'],1,0,0,0,0,0,0,0,0,0
84,['c1cnc(nc1)NC2CCCCCC2'],1,0,0,0,0,0,0,0,0,0
85,['COC(=O)c1ccccc1Oc2ccc(cc2)N'],1,3,0,0,0,0,0,1,0,0
86,['COc1ccc(cc1)NC(=S)N'],1,1,0,1,0,0,0,0,0,0
87,['Cc1cc(no1)NC(=O)CCC2CCCCC2'],1,2,0,0,0,0,0,0,0,0
88,['COC(=O)[C@@H]1C[C@@H](CN1C(=O)c2ccco2)O'],1,5,0,0,0,0,0,0,0,0
89,['C[C@]1(C(=O)NC(=O)N1)CCc2ccc(cc2)OC'],1,3,0,0,0,0,0,0,0,0
90,['c1cc(oc1)CNC(=O)NC2CCCCC2'],1,2,0,0,0,0,0,0,0,0
91,['COc1ccc(cc1)CC(=O)Nc2nncs2'],1,2,0,1,0,0,0,0,0,0
92,['CC(=O)NCc1cc(no1)c2ccc(cc2)OC'],1,3,0,0,0,0,0,0,0,0
93,['CC(C)C(=O)Nc1nnc(s1)COC'],1,2,0,1,0,0,0,0,0,0
94,['c1c(nns1)C(=O)NO'],1,2,0,1,0,0,0,0,0,0
95,['CC(C)CC(=O)Nc1ccc(cc1)C(=O)NN'],1,2,0,0,0,0,0,0,0,0
96,['c1ccc2c(c1)c(c[nH]2)C[NH+]3CCCCCC3'],1,0,0,0,0,0,0,0,0,0
97,['c1cc(ccc1NC(=O)C[NH+]2CCCC2)F'],1,1,0,0,0,0,0,0,0,0
98,['C#Cc1ccc(cc1)OCc2ccccc2'],1,1,0,0,0,0,0,0,0,0
99,['CC(C)[NH2+]Cc1ccc(cc1)N(C)C'],1,0,0,0,0,0,0,0,0,0
100,['Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
101,['CCC(=O)Nc1ccc(cc1)N2CCC(CC2)C'],1,1,0,0,0,0,0,0,0,0
102,['c1ccn(c1)CCNC(=O)C(F)(F)Cl'],1,1,1,0,0,0,0,0,0,0
