sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
289,['c1cc(cnc1)Nc2nnc(s2)C(F)(F)F'],1,0,0,1,0,0,0,0,0,0
290,['CC(C)C(=O)N1CCC(CC1)Cc2ccccc2'],1,1,0,0,0,0,0,0,1,0
291,['CC(C)NC(=O)c1ccc2ccccc2n1'],1,1,0,0,0,0,0,0,0,0
292,['Cc1ccc(o1)C[NH+](C)C'],1,1,0,0,0,0,0,0,0,0
293,['Cn1nc(nn1)NC(=O)c2cc3ccccc3o2'],1,2,0,0,0,0,0,0,0,0
294,['c1cc(cnc1)C[NH2+]C[C@@H]2CCC=CC2'],1,0,0,0,0,0,0,0,0,0
295,['CC(C)COc1ccc(cc1)[C@@H]2C(=O)NC(=O)N2'],1,3,0,0,0,0,0,0,0,0
296,['C[C@H](c1ccccc1)NC(=O)COC'],1,2,0,0,0,0,0,1,0,0
297,['CCc1ccc(cc1)C(=O)Nc2nnn(n2)CC'],1,1,0,0,0,0,0,0,0,0
298,['CNC(=O)OCc1nccn1C'],1,2,0,0,0,0,0,0,0,0
299,['COc1ccc(cc1)CNC(=O)CC#N'],1,2,0,0,0,0,0,0,0,0
300,['COCC(=O)Nc1ccc(cc1)O'],1,3,0,0,0,0,0,0,0,0
301,['CCOc1ccc(cc1)C(=O)Nc2nnn(n2)C'],1,2,0,0,0,0,0,0,0,0
302,['c1ccc(c(c1)C(=O)N)Nc2cccc(c2)Cl'],1,1,1,0,0,0,0,0,0,0
303,['Cc1cc(no1)NC(=O)CSc2ccccc2'],1,2,0,1,0,0,0,0,0,0
304,['Cc1ccc(cc1)OCC(=O)Nc2cc(on2)C'],1,3,0,0,0,0,0,0,0,0
305,['c1cc(oc1)C(=O)Nc2ccc3c(c2)[nH]c(=O)[nH]3'],1,3,0,0,0,0,0,0,0,0
306,['CCCc1cc(=O)oc2c1ccc(c2)OC(=O)C'],1,4,0,0,0,0,0,0,0,0
307,['Cc1c(cco1)C(=O)N2CCc3c2cccc3'],1,2,0,0,0,0,0,0,0,0
308,['Cc1cccc(c1)C(=O)Nc2ccc(cc2O)C'],1,2,0,0,0,0,0,0,0,0
309,['CN(C)C(=O)Nc1cnccc1C(F)(F)F'],1,1,0,0,0,0,0,0,0,0
310,['C[NH+]1CCN(CC1)C(=O)Nc2ccccc2'],1,1,0,0,0,0,0,0,0,0
311,['CCC(=O)Nc1ccc2c(c1)[nH]c(=O)[nH]2'],1,2,0,0,0,0,0,0,0,0
312,['C1CC[NH+](C1)C[C@H](CO)O'],1,2,0,0,0,0,0,0,0,0
313,['COC(=O)c1c(ccs1)NC(=O)C2CC2'],1,3,0,1,0,0,0,0,0,0
314,['COCc1nnc(s1)NC(=O)c2ccccc2'],1,2,0,1,0,0,0,0,0,0
315,['CC(C)C(=O)NCc1[nH]c2ccccc2n1'],1,1,0,0,0,0,0,0,0,0
316,['c1cc(cc(c1)Cl)C[NH+]2CCOCC2'],1,1,1,0,0,0,0,0,0,0
317,['CC(=O)Nc1ccc(cc1)C[NH+]2CCOCC2'],1,2,0,0,0,0,0,0,0,0
318,['Cc1cccc(c1)C[NH+]2CCOCC2'],1,1,0,0,0,0,0,0,0,0
319,['COc1ccc2cc(ccc2c1)c3cc[nH]n3'],1,1,0,0,0,0,0,0,0,0
320,['CC1(CC(=CC(=O)C1)Nc2cccc(c2)O)C'],1,2,0,0,0,0,0,0,0,0
321,['c1cnccc1c2nc(on2)C3CCCCC3'],1,1,0,0,0,0,0,0,0,0
322,['CCCn1c(nnn1)NC(=O)c2cccs2'],1,1,0,1,0,0,0,0,0,0
323,['Cn1c(c(c(n1)C(F)(F)F)c2ccccc2)N'],1,0,0,0,0,0,0,0,1,0
324,['C[C@H]1CC[C@H](C1)[NH2+]Cc2ccc3c(c2)OCO3'],1,2,0,0,0,0,0,0,0,0
325,['c1ccn(c1)c2ccc(cc2)N3CCOCC3'],1,1,0,0,0,0,0,0,0,0
326,['COc1ccccc1N2CC[NH+](CC2)CC#N'],1,1,0,0,0,0,0,0,0,0
327,['c1cc(oc1)C(=O)N2CC[NH+](CC2)CC(=O)N'],1,3,0,0,0,0,0,0,0,0
328,['CC1CCN(CC1)c2ccc(cc2N)C(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
329,['Cc1ccc(cc1)S(=O)(=O)N(C)CCC#N'],1,2,0,1,0,0,0,0,0,0
330,['Cc1cc(no1)c2nc(on2)c3ccccc3'],1,2,0,0,0,0,0,0,0,0
331,['Cc1ccc(cc1)C(=O)n2cnc3c2cccc3'],1,1,0,0,0,0,0,0,0,0
332,['Cc1cc(no1)C(=O)NNc2ccccc2F'],1,2,0,0,0,0,0,0,0,0
333,['c1ccc2c(c1)ccc(c2O)C[NH+]3CCOCC3'],1,2,0,0,0,0,0,0,0,0
334,['c1cc(ccc1C(=O)[O-])Oc2ccc(cc2)N'],1,3,0,0,0,0,0,0,0,0
335,['Cc1cc(no1)C(=O)NCC(=O)OC'],1,4,0,0,0,0,0,0,0,0
336,['c1cc(cc(c1)O)NC(=O)Nc2ccc(cc2)F'],1,2,0,0,0,0,0,0,0,0
337,['CCc1nnc(s1)NC(=O)C[NH+](C)C'],1,1,0,1,0,0,0,0,0,0
338,['CC1(C[C@H](CCO1)C(=O)NCc2ccccc2)C'],1,2,0,0,0,0,0,0,0,0
339,['Cn1ccc(n1)C(=O)Nc2cccc(c2)C(=O)[O-]'],1,3,0,0,0,0,0,0,0,0
340,['c1ccc(cc1)OCC(=O)Nc2ccccc2O'],1,3,0,0,0,0,0,0,0,0
341,['c1cc(ccc1C[NH2+]Cc2ccc(cc2)F)C#N'],1,0,0,0,0,0,0,0,0,0
342,['CC(C)C(=O)Nc1nnn(n1)C'],1,1,0,0,0,0,0,0,0,0
343,['c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)N'],1,2,0,1,0,0,0,0,0,0
344,['CC[C@H](CO)NC(=O)Nc1ccc(cc1)Cl'],1,2,1,0,0,0,0,0,0,0
345,['COc1cccc(c1)C[NH+]2CCC(CC2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
346,['c1ccc(cc1)COc2ccccc2C(=O)NN'],1,2,0,0,0,0,0,0,1,0
347,['c1c(c(=O)[nH]c(=O)[nH]1)NC2CCCCC2'],1,2,0,0,0,0,0,0,0,0
348,['C[C@H](C[NH2+]C1CCCCC1)O'],1,1,0,0,0,0,0,0,0,0
349,['c1c(nns1)C(=O)N2CCOCC2'],1,2,0,1,0,0,0,0,0,0
350,['C[C@@H](C(=O)OC)NC(=O)N1CCOCC1'],1,4,0,0,0,0,0,0,0,0
351,['CC(=O)c1ccc(o1)c2ccc(cc2F)F'],1,2,0,0,0,0,0,0,0,0
352,['c1cc(ccc1n2cc(nn2)CO)Cl'],1,1,1,0,0,0,0,0,0,0
353,['CC(=O)Nc1cc(ccc1O)c2ccccc2'],1,2,0,0,0,0,0,0,0,0
354,['CC(=O)Nc1ccc(cc1)c2csc(n2)N'],1,1,0,1,0,0,0,0,0,0
355,['c1cc(sc1)c2nc(no2)N3CCCCC3'],1,1,0,1,0,0,0,0,0,0
356,['CC(=O)Nc1ccc(cc1)OCC(=O)[O-]'],1,4,0,0,0,0,0,0,0,0
357,['Cc1nc(c(s1)NC(=O)OC)c2ccccc2'],1,2,0,1,0,0,0,0,0,0
358,['Cc1cc(nn1c2ccccc2)NC(=O)OC'],1,2,0,0,0,0,0,0,0,0
359,['c1cc(oc1)CNC(=O)Nc2ccc(cc2)F'],1,2,0,0,0,0,0,0,0,0
360,['Cc1ccc2c(c1)c3c([nH]2)[C@@H](CCC3)C#N'],1,0,0,0,0,0,0,0,0,0
361,['c1cc2c(cc1C[NH2+]C[C@@H]3CCC=CC3)OCO2'],1,2,0,0,0,0,0,0,0,0
362,['c1ccc2c(c1)[nH]c(n2)NCc3ccco3'],1,1,0,0,0,0,0,0,0,0
363,['CC(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)NN'],1,3,0,0,0,0,0,1,0,0
364,['c1ccnc(c1)C[NH2+]Cc2ccc3c(c2)OCO3'],1,2,0,0,0,0,0,0,0,0
365,['c1ccc(cc1)CCNc2[nH]c3ccccc3n2'],1,0,0,0,0,0,0,0,0,0
366,['c1ccc(cc1)OCC(=O)Nc2cccc(c2)F'],1,2,0,0,0,0,0,0,0,0
367,['C[C@@H](CNC(=O)Nc1ccccc1)O'],1,2,0,0,0,0,0,0,0,0
368,['CC(C)(C)NC(=O)N1CCC(CC1)C(=O)OC'],1,3,0,0,0,0,0,0,0,0
369,['c1ccc(cc1)CCNC(=O)c2ccc(=O)oc2'],1,3,0,0,0,0,0,0,0,0
370,['C1CCCC(CC1)NC(=O)[C@H]2CCCO2'],1,2,0,0,0,0,0,0,0,0
371,['c1ccc2c(c1)ncn2Cc3ccc(cc3)C#N'],1,0,0,0,0,0,0,0,0,0
372,['CCOc1ccc2c(c1)sc(n2)C'],1,1,0,1,0,0,0,0,0,0
373,['COc1cc(cc(c1OC)OC)C[NH3+]'],1,3,0,0,0,0,0,0,0,0
374,['C1CCC(CC1)NC(=O)NC[C@H]2CCCO2'],1,2,0,0,0,0,0,0,0,0
375,['Cn1c(cc(n1)c2cccs2)N'],1,0,0,1,0,0,0,1,0,1
376,['c1ccc(cc1)COc2ccccc2N'],1,1,0,0,0,0,0,0,0,0
377,['COc1ccc(cc1)[C@@H](c2ccccc2)[NH3+]'],1,1,0,0,0,0,0,0,0,0
378,['COCc1nnc(s1)N'],1,1,0,1,0,0,0,0,0,0
379,['c1cc(ccc1NC(=O)N2CCOCC2)O'],1,3,0,0,0,0,0,0,0,0
380,['c1c(c(=O)[nH]c(=O)[nH]1)N2CCOCC2'],1,3,0,0,0,0,0,0,0,0
381,['COc1ccc(cc1)C(=O)NCC(=O)N'],1,3,0,0,0,0,0,0,0,0
382,['CS(=O)(=O)Nc1ccc(cc1)C[NH3+]'],1,2,0,1,0,0,0,0,0,0
383,['c1ccc(cc1)C2CC[NH+](CC2)CC(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
384,['c1cc(ccc1c2cncnc2N)Cl'],1,0,1,0,0,0,0,0,0,0
385,['COC(=O)c1c(cc(s1)c2cccs2)N'],1,2,0,2,0,0,0,0,0,0
386,['c1cc(cc(c1)OC(C(F)F)(F)F)N'],1,1,0,0,0,0,0,0,0,0
387,['Cc1c(n2ccccc2n1)C(=O)NCC(C)C'],1,1,0,0,0,0,0,0,0,0
388,['COC(=O)C1CC[NH+](CC1)CC(=O)N'],1,3,0,0,0,0,0,0,0,0
389,['C1CCN(CC1)C(=O)N2CCCCC2'],1,1,0,0,0,0,0,0,0,0
390,['c1cc(ccc1C[NH2+]C[C@H]2CCCO2)F'],1,1,0,0,0,0,0,0,0,0
391,['CCOC(=O)C1CCN(CC1)c2cnccn2'],1,2,0,0,0,0,0,0,0,0
392,['c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N'],1,2,0,1,0,0,0,0,0,0
393,['c1ccc(c(c1)C(=O)[O-])OC(F)(F)F'],1,3,0,0,0,0,0,0,0,0
394,['CCc1ccccc1NNC(=S)N'],1,0,0,1,0,0,0,0,0,0
395,['c1ccc(cc1)c2ccc(cc2)CC(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
396,['CCOC(=O)Nc1nc2ccc(cc2s1)C'],1,2,0,1,0,0,0,0,0,0
397,['c1cnc([nH]1)c2[nH]ccn2'],1,0,0,0,0,0,0,0,0,0
398,['c1cc(sc1)c2ccc(cc2)C[NH3+]'],1,0,0,1,0,0,0,0,0,0
399,['c1ccc(cc1)C[NH2+]Cc2ccc(cc2)F'],1,0,0,0,0,0,0,0,0,0
400,['CC(C)Oc1ccc(cc1)c2csc(n2)N'],1,1,0,1,0,0,0,0,0,0
401,['C[C@H]([C@H](c1ccccc1)O)[NH2+]C'],1,1,0,0,0,0,0,0,0,0
402,['CNC(=O)NCc1c(cccc1Cl)F'],1,1,1,0,0,0,0,0,0,0
403,['C[NH2+]Cc1ccncc1'],1,0,0,0,0,0,0,0,0,0
404,['c1cc(cc(c1)F)NC(=O)c2cnccn2'],1,1,0,0,0,0,0,0,0,0
405,['c1ccc2c(c1)[nH]c(n2)NC#N'],1,0,0,0,0,0,0,0,0,0
406,['c1cn[nH]c1c2cc(cc(c2O)F)F'],1,1,0,0,0,0,0,0,0,0
407,['CC(=O)N1CCC(CC1)[NH2+]C2CC2'],1,1,0,0,0,0,0,0,0,0
408,['CC(C)[NH+]1CCN(CC1)C(=O)c2cccs2'],1,1,0,1,0,0,0,0,0,0
409,['C[NH+](C)CC#Cc1ccccc1'],1,0,0,0,0,0,0,0,0,0
410,['CCc1nc(no1)c2ccc(cc2)Cl'],1,1,1,0,0,0,0,0,0,0
411,['CN(c1ccc(cn1)C(F)(F)F)N'],1,0,0,0,0,0,0,0,0,0
412,['Cc1ccc(cc1C)C(=O)Nc2nc[nH]n2'],1,1,0,0,0,0,0,0,0,0
413,['Cc1ccc(o1)c2ccccc2N'],1,1,0,0,0,0,0,0,0,0
414,['CC(C)c1nnc(s1)NCC(C)(C)C'],1,0,0,1,0,0,0,0,0,0
415,['Cc1ccc(o1)c2cccc(c2)N'],1,1,0,0,0,0,0,0,0,0
416,['c1cc(ccc1C[NH2+]C2CCCCC2)O'],1,1,0,0,0,0,0,0,0,0
417,['CC[C@H](C)c1ccc(c(c1)O)NC(=O)C'],1,2,0,0,0,0,0,0,0,0
418,['c1cc(ccc1NC(=O)CC#N)OC(F)(F)F'],1,2,0,0,0,0,0,0,0,0
419,['Cc1c(c(n[nH]1)C)CCOc2ccc(cc2)F'],1,1,0,0,0,0,0,0,0,0
420,['Cc1ccc(c(c1)C)OCC(=O)N2CCOCC2'],1,3,0,0,0,0,0,0,0,0
421,['c1cc(ccc1C(=O)N)NC(=O)c2cnccn2'],1,2,0,0,0,0,0,0,0,0
422,['CCn1ccc(n1)C[NH2+]C'],1,0,0,0,0,0,0,0,0,0
423,['Cc1ccc(o1)C[NH+](C)Cc2ccccc2'],1,1,0,0,0,0,0,0,0,0
424,['CCOC(=O)c1c(nc(s1)N(C)C(=O)C)C'],1,3,0,1,0,0,0,0,0,0
425,['c1ccc(cc1)Nc2nnc3n2nc(cc3)Cl'],1,0,1,0,0,0,0,0,0,0
426,['c1cc2c(cc1C(=O)N3CCCCCC3)OCO2'],1,3,0,0,0,0,0,1,0,0
427,['COc1ccc(cc1)C(=O)Nc2ccccc2F'],1,2,0,0,0,0,0,0,0,0
428,['Cn1nc(nn1)NC(=O)c2ccc(cc2)Cl'],1,1,1,0,0,0,0,0,0,0
429,['CC(=O)Nc1ccc(cc1)C#N'],1,1,0,0,0,0,0,0,0,0
430,['Cn1c(c(cn1)NC(=O)c2ccccc2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
431,['C1CCC(CC1)C(=O)N2CCC(CC2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
432,['c1cscc1C[NH+]2CCC(CC2)O'],1,1,0,1,0,0,0,0,0,0
433,['CC(C)CC(=O)Nc1ccc(cc1)NC(=O)C'],1,2,0,0,0,0,0,0,0,0
434,['CC(C)c1ccc(cc1)NNC(=O)c2ccno2'],1,2,0,0,0,0,0,0,0,0
435,['c1cnc(cn1)C(=O)NCCC2=CCCCC2'],1,1,0,0,0,0,0,0,0,0
436,['Cc1ccc(cc1)CNC(=O)COC'],1,2,0,0,0,0,0,0,0,0
437,['CCOc1ccc(cc1)C(=O)Nc2cc(on2)C'],1,3,0,0,0,0,0,0,0,0
438,['CC(C)c1ccc(cc1)NNC(=O)C2CCC2'],1,1,0,0,0,0,0,0,0,0
439,['c1ccc(cc1)CCC(=O)NN2CCOCC2'],1,2,0,0,0,0,0,0,0,0
440,['COCC(=O)NCc1ccccc1'],1,2,0,0,0,0,0,0,0,0
441,['c1cc(c(c(c1)F)C(=O)N2CCCCCC2)F'],1,1,0,0,0,0,0,0,1,0
442,['CCc1ccccc1NNC(=O)c2ccccc2'],1,1,0,0,0,0,0,0,0,0
443,['CC(C)C(=O)Nc1ccc(cc1)N2CCCCC2'],1,1,0,0,0,0,0,0,0,0
444,['CCOC(=O)N1CCOCC1'],1,3,0,0,0,0,0,0,0,0
445,['Cc1ccc(cc1)CNC(=O)c2ccc(cc2)C'],1,1,0,0,0,0,0,0,0,0
446,['c1cc(cc(c1)NC(=O)c2ccno2)C(=O)[O-]'],1,4,0,0,0,0,0,1,0,0
447,['C[C@H]1CCCC[NH+]1Cc2ccccc2C#N'],1,0,0,0,0,0,0,0,0,0
448,['COc1ccc(c(c1)O)c2cc[nH]n2'],1,2,0,0,0,0,0,0,0,0
449,['CNC(=O)c1ccccc1NC(=O)c2ccco2'],1,3,0,0,0,0,0,0,0,0
450,['CC(=O)Nc1ccc(cc1)C(=O)Nn2cnnc2'],1,2,0,0,0,0,0,0,0,0
451,['c1ccc(cc1)CNc2c[nH]c(=O)[nH]c2=O'],1,2,0,0,0,0,0,0,0,0
452,['c1cc(cnc1)CNc2ccc(cc2C(=O)[O-])N'],1,2,0,0,0,0,0,0,0,0
453,['Cc1c(cccc1Cl)NC(=O)[C@@H]2CCCO2'],1,2,1,0,0,0,0,0,0,0
454,['C[C@H]1CCCCN1C(=O)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
455,['c1ccc(cc1)CC(=O)N2CCc3c2cccc3'],1,1,0,0,0,0,0,0,0,0
456,['C1CCN(CC1)c2c(non2)N'],1,1,0,0,0,0,0,0,0,0
457,['CC[C@@H](C)NC(=O)c1cc(on1)c2ccccc2'],1,2,0,0,0,0,0,0,0,0
458,['CC(C)c1ccc(cc1)NC(=O)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
459,['C1CCC(CC1)CCC(=O)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
460,['CC(=O)Nc1ccc2c(c1)[nH]c(=O)[nH]2'],1,2,0,0,0,0,0,0,0,0
461,['C[NH+]1CCC(CC1)OC(=O)c2cccc(c2)F'],1,2,0,0,0,0,0,0,0,0
462,['c1cc(ccc1NNC(=O)C2CCC2)F'],1,1,0,0,0,0,0,0,0,0
463,['c1ccc(cc1)NC(=O)NCc2ccc(cc2)F'],1,1,0,0,0,0,0,0,0,0
464,['CCC(=O)Nc1ccc(cc1O)C'],1,2,0,0,0,0,0,0,0,0
465,['c1ccc2c(c1)nc(s2)N3CCOCC3'],1,1,0,1,0,0,0,0,0,0
466,['c1ccc(c(c1)NNC(=O)c2ccno2)F'],1,2,0,0,0,0,0,0,0,0
467,['COC(=O)Nc1cccc(c1)NC(=O)OC'],1,4,0,0,0,0,0,0,0,0
468,['CNC(=O)CCC1CCCCC1'],1,1,0,0,0,0,0,0,0,0
469,['Cc1cccc(c1)NC(=O)Nc2nc(cs2)C'],1,1,0,1,0,0,0,0,0,0
470,['c1ccc(cc1)C(=O)NNc2ccccc2F'],1,1,0,0,0,0,0,0,0,0
471,['COc1ccc(cc1)CNC(=O)[C@@H]2CCCO2'],1,3,0,0,0,0,0,0,0,0
472,['COC(=O)COc1ccc(cc1)C#N'],1,3,0,0,0,0,0,0,0,0
473,['c1cc(sc1)C(=O)Nc2ccc(cc2)C#N'],1,1,0,1,0,0,0,0,0,0
474,['CC(=O)Nc1ccc(cn1)NC(=O)c2ccco2'],1,3,0,0,0,0,0,0,0,0
475,['c1ccc(cc1)c2cnc(c(n2)C(=O)N)N'],1,1,0,0,0,0,0,0,0,0
476,['CCSc1nnc(s1)NC(=O)OC'],1,2,0,2,0,0,0,0,0,0
477,['COc1cc(ccc1N)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
478,['CC[NH+]1CCCCC1'],1,0,0,0,0,0,0,0,0,0
479,['CC(=O)Nc1nnc(s1)COC'],1,2,0,1,0,0,0,0,0,0
480,['CCNC(=O)Nc1cc(on1)C'],1,2,0,0,0,0,0,0,0,0
481,['CC(C)(C)OC(=O)N1CC[NH+](CC1)CCO'],1,3,0,0,0,0,0,0,0,0
482,['CN(C)c1cc[nH+]cc1'],1,0,0,0,0,0,0,0,0,0
483,['Cc1c([nH]c2c1cc(cc2)F)C'],1,0,0,0,0,0,0,0,0,0
484,['c1cc(ccc1NC(=O)C2CCC2)n3cnnn3'],1,1,0,0,0,0,0,0,0,0
485,['COc1ccc(cc1)Cl'],1,1,1,0,0,0,0,0,0,0
486,['C[NH+](C)Cc1ccc(o1)C(=O)[O-]'],1,3,0,0,0,0,0,0,0,0
487,['C1COCC[NH+]1CCC#N'],1,1,0,0,0,0,0,0,0,0
488,['c1ccc(cc1)COc2ccc(cc2)C(=O)NN'],1,2,0,0,0,0,0,0,0,0
489,['Cc1ccsc1C[NH2+]C(C)(C)CO'],1,1,0,1,0,0,0,0,0,0
490,['Cc1nc(no1)c2ccccc2'],1,1,0,0,0,0,0,0,0,0
491,['c1cc(sc1)CNc2ccc(cc2)O'],1,1,0,1,0,0,0,0,0,0
492,['CN(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N'],1,3,0,1,0,0,0,0,0,0
493,['COc1ccc(cc1)[C@H]2C=C(NC(=O)N2)C(=O)[O-]'],1,4,0,0,0,0,0,0,0,0
494,['CCOC(=O)C[NH+]1CCCCC1'],1,2,0,0,0,0,0,0,0,0
495,['CNC(=O)c1ccc(cc1)S(=O)(=O)N'],1,3,0,1,0,0,0,0,0,0
496,['c1ccc2c(c1)nc(o2)c3cc(ccc3F)N'],1,1,0,0,0,0,0,0,0,0
497,['CC(=O)Nc1ccccc1O'],1,2,0,0,0,0,0,0,0,0
498,['c1cc(cnc1)C[NH2+]C2CCCC2'],1,0,0,0,0,0,0,0,0,0
499,['c1cnc(nc1)NC2CCCCCC2'],1,0,0,0,0,0,0,0,0,0
500,['COC(=O)c1ccccc1Oc2ccc(cc2)N'],1,3,0,0,0,0,0,0,0,0
501,['COc1ccc(cc1)NC(=S)N'],1,1,0,1,0,0,0,0,0,0
502,['c1cocc1C[NH2+]C[C@H]2CCCO2'],1,2,0,0,0,0,0,0,0,0
503,['c1cc(c(cc1n2cc(nn2)CO)Cl)Cl'],1,1,2,0,0,0,0,0,0,0
504,['c1cnc(nc1)Oc2ccc(cc2)c3cc[nH]n3'],1,1,0,0,0,0,0,0,0,0
505,['c1cc(ccc1C[NH+]2CCOCC2)CO'],1,2,0,0,0,0,0,0,0,0
506,['CCC(=O)Nc1nnc(s1)C2CCCCC2'],1,1,0,1,0,0,0,0,0,0
507,['c1cc2c(cc1NC(=O)N3CCOCC3)non2'],1,3,0,0,0,0,0,0,0,0
508,['c1cc(ccc1NC(=O)Nc2cnccn2)Cl'],1,1,1,0,0,0,0,0,0,0
509,['CC(=O)Nc1nnc(s1)COc2ccccc2'],1,2,0,1,0,0,0,0,0,0
510,['CCC(=O)Nc1nnc(s1)C2CCCCC2'],1,1,0,1,0,0,0,0,0,0
511,['c1cc2c(cc1NC(=O)N3CCOCC3)non2'],1,3,0,0,0,0,0,0,0,0
512,['c1cc(ccc1NC(=O)Nc2cnccn2)Cl'],1,1,1,0,0,0,0,0,0,0
513,['Cc1cc(no1)NC(=O)c2ccc3c(c2)non3'],1,3,0,0,0,0,0,0,0,0
514,['Cn1cc(cn1)CNC(=O)c2ccco2'],1,2,0,0,0,0,0,0,0,0
515,['c1ccc(cc1)C(=O)Nc2ccc3c(c2)cccn3'],1,1,0,0,0,0,0,0,0,0
516,['Cc1ccc(c(c1)OC(=O)c2ccncc2)C'],1,2,0,0,0,0,0,0,0,0
517,['c1cc2c(cc1C(=O)N3CCOCC3)nns2'],1,2,0,1,0,0,0,1,0,1
518,['Cn1ccc(n1)C(=O)NC[C@@H]2CCCO2'],1,2,0,0,0,0,0,1,0,0
519,['Cc1cc(cc(c1)NC(=O)NCc2ccco2)C'],1,2,0,0,0,0,0,0,0,0
520,['c1ccc2c(c1)[nH]c(n2)C[NH+]3CCOCC3'],1,1,0,0,0,0,0,0,0,0
521,['CC(=O)N1CCC(CC1)c2c[nH]c3c2cccc3'],1,1,0,0,0,0,0,0,0,0
522,['CCn1cc(cn1)C(=O)NCc2ccc(cc2)F'],1,1,0,0,0,0,0,1,0,0
523,['Cc1c(c(no1)c2ccc(cc2)F)C(=O)NC'],1,2,0,0,0,0,0,0,0,0
524,['CC(C)(C)C1CCN(CC1)C(=O)c2ccccc2'],1,1,0,0,0,0,0,0,0,0
525,['CC(=O)c1ccc(cc1)OC(=O)c2cccs2'],1,3,0,1,0,0,0,0,0,0
526,['c1ccc2c(c1)c(cs2)NC(=O)NC3CC3'],1,1,0,1,0,0,0,0,0,0
527,['CC1(CC(=CC(=O)C1)Nc2c[nH]c(=O)[nH]c2=O)C'],1,3,0,0,0,0,0,0,0,0
528,['CNc1ncccn1'],1,0,0,0,0,0,0,1,0,0
529,['COc1ccc(cc1)C[NH2+]C2CCCC2'],1,1,0,0,0,0,0,0,0,0
530,['CC(=O)Nc1ccc(cc1)NC(=O)[C@H]2CC2(C)C'],1,2,0,0,0,0,0,0,0,0
531,['c1cc(ccc1C(=O)N)NC(=O)[C@@H]2CCCO2'],1,3,0,0,0,0,0,0,0,0
532,['C1CN(CCC1C(=O)N)C(=O)CC#N'],1,2,0,0,0,0,0,0,0,0
533,['c1cc(cc(c1)F)C[NH2+]Cc2ccco2'],1,1,0,0,0,0,0,0,0,0
534,['CC(C)[C@](C)(C#N)Nc1ccccc1'],1,0,0,0,0,0,0,0,0,0
535,['CC[C@H](C)NC(=O)c1cc(on1)c2ccccc2'],1,2,0,0,0,0,0,0,0,0
536,['C[NH2+]CCC1CCCCC1'],1,0,0,0,0,0,0,0,0,0
537,['COc1cccc(c1)C(=O)Nc2ccccc2F'],1,2,0,0,0,0,0,0,0,0
538,['Cn1c(cc(=O)[nH]1)Nc2ccccc2'],1,1,0,0,0,0,0,1,0,0
539,['CC1CCN(CC1)C(=O)CCCc2ccccc2'],1,1,0,0,0,0,0,0,0,0
540,['CC1CCC(CC1)[NH2+]C2CCC(CC2)O'],1,1,0,0,0,0,0,0,0,0
541,['c1ccc2c(c1)CC[NH+](C2)Cc3ccc(cc3)O'],1,1,0,0,0,0,0,0,0,0
542,['CC(=O)N1CCN(CC1)c2ccc(cc2)Cl'],1,1,1,0,0,0,0,0,0,0
543,['CC(C)C(=O)N1CCN(CC1)c2ccc(cc2)N'],1,1,0,0,0,0,0,0,0,0
544,['CC(=O)c1cccc(c1)NC(=O)C(F)(F)F'],1,2,0,0,0,0,0,0,0,0
545,['c1cc(ccc1c2nnc(s2)N)O'],1,1,0,1,0,0,0,0,1,0
546,['CC(C)(C)C(=O)NCCc1[nH]c2ccccc2n1'],1,1,0,0,0,0,0,0,0,0
547,['c1ccc(cc1)NC(=O)Nc2cccnc2'],1,1,0,0,0,0,0,0,0,0
548,['COc1ccc(cc1)NC(=O)C[NH3+]'],1,2,0,0,0,0,0,0,1,0
549,['Cc1nc2ccc(cc2o1)O'],1,2,0,0,0,0,0,0,0,0
550,['CCS(=O)(=O)NCc1ccc2c(c1)OCO2'],1,4,0,1,0,0,0,0,0,0
551,['c1cc(ccc1c2ccnc(n2)N)Cl'],1,0,1,0,0,0,0,0,0,0
552,['Cc1ccc(cc1C)c2c(sc(n2)N)C'],1,0,0,1,0,0,0,0,0,0
553,['CCOc1ccccc1N2CC[NH2+]CC2'],1,1,0,0,0,0,0,0,0,0
554,['COc1ccc(cc1)N2C[C@@H](CC2=O)C(=O)N'],1,3,0,0,0,0,0,0,0,0
555,['CC(C)CNC(=O)c1cc(ccc1OC)Cl'],1,2,1,0,0,0,0,0,0,0
556,['CC1(C[C@H](CCO1)[NH2+]Cc2ccco2)C'],1,2,0,0,0,0,0,0,0,0
